City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,georgetown,5.4112,100.3354,76.95,94,20,0.0,MY,1675530429
155,krasnoarmeysk,51.0239,45.6969,19.51,96,100,6.24,RU,1675531070
156,broome,42.2506,-75.833,10.45,65,91,4.0,US,1675530682
157,ostrovnoy,68.0531,39.5131,14.7,88,99,8.59,RU,1675530706
158,beloha,-25.1667,45.05,74.62,81,86,16.49,MG,1675531072
159,maarianhamina,60.0973,19.9348,19.26,93,0,1.14,AX,1675531072
160,roura,4.7263,-52.3274,76.91,100,100,2.3,GF,1675531073
161,luhyny,51.082,28.4006,23.02,85,100,8.81,UA,1675531073
162,hamilton,39.1834,-84.5333,37.38,45,0,14.97,US,1675530446
163,port-gentil,-0.7193,8.7815,80.56,94,40,9.22,GA,1675530883
164,whitehorse,60.7161,-135.0538,-0.98,100,86,3.02,CA,1675530782
165,san cristobal,7.7669,-72.225,77.18,40,80,7.34,VE,1675530644
166,salalah,17.0151,54.0924,75.29,73,75,3.44,OM,1675530694
167,mount gambier,-37.8333,140.7667,55.4,85,63,3.65,AU,1675530558
168,shu,43.5983,73.7614,32.61,99,100,5.03,KZ,1675531076
169,pochutla,15.7432,-96.4661,85.82,37,1,6.24,MX,1675531076
170,provideniya,64.3833,-173.3,-5.71,88,90,11.16,RU,1675530658
171,yar-sale,66.8333,70.8333,9.59,94,100,5.44,RU,1675531078
172,luanda,-8.8368,13.2343,84.2,70,40,11.5,AO,1675530566
173,placido de castro,-10.3353,-67.1856,74.3,97,100,0.45,BR,1675531079
174,elbrus,43.2577,42.6443,12.45,97,99,5.75,RU,1675531079
175,san juan de uraba,8.7592,-76.5297,83.35,65,99,8.03,CO,1675531080
176,saint marys,30.7305,-81.5465,64.42,66,19,15.01,US,1675531081
177,flinders,-34.5833,150.8552,62.38,67,0,7.63,AU,1675530667
178,coquimbo,-29.9533,-71.3436,67.73,77,75,9.22,CL,1675530395
179,severo-kurilsk,50.6789,156.125,25.84,72,100,8.08,RU,1675530645
180,gat,31.61,34.7642,54.39,100,21,6.44,IL,1675530841
181,saint anthony,45.0205,-93.218,22.21,67,0,8.05,US,1675531088
182,tefe,-3.3542,-64.7114,84.31,84,75,4.61,BR,1675531093
183,carnarvon,-24.8667,113.6333,78.17,77,2,5.82,AU,1675530639
184,dolinsk,47.35,142.8,-5.21,95,17,5.12,RU,1675531099
185,cherskiy,68.75,161.3,-35.3,100,93,4.32,RU,1675530611
186,ponta do sol,32.6667,-17.1,65.03,61,38,6.53,PT,1675530700
187,robertsport,6.7533,-11.3686,81.63,80,4,14.61,LR,1675531106
188,kitimat,54.0524,-128.6534,35.98,100,100,1.12,CA,1675530934
189,cidreira,-30.1811,-50.2056,80.44,60,29,12.86,BR,1675530715
190,port moresby,-9.4431,147.1797,76.46,83,100,4.29,PG,1675531112
191,prince rupert,54.3161,-130.3201,46.09,85,100,28.77,CA,1675531019
192,avera,33.194,-82.5271,45.37,35,0,9.28,US,1675530932
193,zhigansk,66.7697,123.3711,-42.61,96,49,12.26,RU,1675531114
194,male,4.1748,73.5089,82.35,83,75,6.91,MV,1675531114
195,kigoma,-4.8769,29.6267,77.59,78,75,0.0,TZ,1675531115
